issue_key,issue_type,priority,has_priority,component_present,summary_length,summary_word_count,description_length,description_word_count,created_year,created_month,created_dayofweek,created_hour,resolution_time_days,delay_threshold_days,is_delayed
SRCTREEWIN-13843,Bug,Low,1,1,21,3,633,65,2022,5,4,10,19.7688,305.2055555555556,0
SRCTREEWIN-13834,Suggestion,Unknown,0,1,54,6,662,107,2022,4,3,10,3.9042,305.2055555555556,0
SRCTREEWIN-13831,Bug,Low,1,1,45,8,606,102,2022,4,1,15,8.8931,305.2055555555556,0
SRCTREEWIN-13827,Bug,Low,1,1,66,10,370,55,2022,4,3,2,47.1,305.2055555555556,0
SRCTREEWIN-13823,Bug,Low,1,1,52,7,229,37,2022,4,0,7,267.8868,305.2055555555556,0
SRCTREEWIN-13818,Bug,Low,1,1,42,7,672,69,2022,4,4,13,339.7035,305.2055555555556,1
SRCTREEWIN-13805,Bug,Low,1,1,42,5,414,43,2022,3,4,15,300.8243,305.2055555555556,0
SRCTREEWIN-13785,Bug,Low,1,1,42,6,205,36,2022,2,0,10,3.7556,305.2055555555556,0
SRCTREEWIN-13777,Bug,Low,1,1,44,7,244,38,2022,2,5,15,1.5785,305.2055555555556,0
SRCTREEWIN-13769,Bug,Low,1,1,68,11,52,10,2022,1,0,11,0.7257,305.2055555555556,0
SRCTREEWIN-13768,Bug,Low,1,1,61,9,4344,216,2022,1,0,11,0.7431,305.2055555555556,0
SRCTREEWIN-13766,Bug,Low,1,1,36,7,220,41,2022,1,1,8,495.9674,305.2055555555556,1
SRCTREEWIN-13765,Bug,Low,1,1,44,5,1160,128,2022,1,6,18,3.0007,305.2055555555556,0
SRCTREEWIN-13763,Bug,Low,1,1,42,7,384,62,2022,1,2,8,55.8986,305.2055555555556,0
SRCTREEWIN-13758,Bug,Low,1,1,30,5,158,23,2022,1,1,7,63.941,305.2055555555556,0
SRCTREEWIN-13753,Suggestion,Unknown,0,1,88,14,172,29,2021,12,3,7,75.9486,305.2055555555556,0
SRCTREEWIN-13751,Bug,Low,1,1,57,8,285,42,2021,12,6,5,80.0306,305.2055555555556,0
SRCTREEWIN-13748,Suggestion,Unknown,0,1,32,1,318,32,2021,12,3,10,82.8229,305.2055555555556,0
SRCTREEWIN-13733,Bug,Low,1,1,54,9,168,12,2021,11,4,8,102.8972,305.2055555555556,0
SRCTREEWIN-13728,Bug,Low,1,1,57,8,3963,165,2021,11,4,10,109.8111,305.2055555555556,0
SRCTREEWIN-13727,Bug,Low,1,1,37,4,186,21,2021,11,3,13,193.6347,305.2055555555556,0
SRCTREEWIN-13705,Bug,Low,1,1,53,9,203,26,2021,9,2,18,160.5118,305.2055555555556,0
SRCTREEWIN-13699,Bug,Low,1,1,18,2,82,14,2021,9,0,5,66.3917,305.2055555555556,0
SRCTREEWIN-13696,Bug,Low,1,1,46,6,446,37,2021,8,3,11,194.7938,305.2055555555556,0
SRCTREEWIN-13694,Bug,Low,1,1,58,9,188,29,2021,8,2,6,642.0611,305.2055555555556,1
SRCTREEWIN-13683,Bug,Low,1,1,49,7,168,14,2021,8,5,20,1.3917,305.2055555555556,0
SRCTREEWIN-13682,Bug,Low,1,1,49,7,168,14,2021,8,3,14,3.675,305.2055555555556,0
SRCTREEWIN-13681,Suggestion,Unknown,0,1,32,6,245,37,2021,8,2,15,285.5722,305.2055555555556,0
SRCTREEWIN-13679,Bug,Low,1,1,24,4,110,10,2021,8,2,11,1.85,305.2055555555556,0
SRCTREEWIN-13678,Bug,Low,1,1,83,11,189,31,2021,8,2,7,202.941,305.2055555555556,0
SRCTREEWIN-13675,Bug,Medium,1,0,56,8,742,133,2021,8,0,7,94.3646,305.2055555555556,0
SRCTREEWIN-13671,Bug,Low,1,1,54,7,840,63,2021,7,3,12,623.8951,305.2055555555556,1
SRCTREEWIN-13631,Bug,Low,1,1,60,5,4033,190,2021,6,3,14,264.6431,305.2055555555556,0
SRCTREEWIN-13629,Bug,Low,1,1,59,8,265,38,2021,6,1,14,712.7278,305.2055555555556,1
SRCTREEWIN-13608,Bug,Low,1,1,60,10,404,58,2021,5,0,12,0.6917,305.2055555555556,0
SRCTREEWIN-13596,Bug,Low,1,1,60,8,725,121,2021,4,0,8,0.925,305.2055555555556,0
SRCTREEWIN-13594,Bug,Low,1,1,57,10,1599,228,2021,4,3,7,20.2188,305.2055555555556,0
SRCTREEWIN-13590,Bug,Low,1,1,6,1,6,1,2021,4,6,3,4.1,305.2055555555556,0
SRCTREEWIN-13588,Bug,Low,1,1,67,9,499,77,2021,4,1,11,0.025,305.2055555555556,0
SRCTREEWIN-13587,Bug,Low,1,1,23,4,2950,178,2021,4,0,15,38.6312,305.2055555555556,0
SRCTREEWIN-13574,Bug,Low,1,1,20,5,81,17,2021,4,4,21,2.4125,305.2055555555556,0
SRCTREEWIN-13573,Bug,Low,1,1,10,2,35,7,2021,4,4,20,12.6618,305.2055555555556,0
SRCTREEWIN-13552,Bug,Low,1,1,19,3,263,41,2021,4,4,17,10.6333,305.2055555555556,0
SRCTREEWIN-13547,Bug,Low,1,1,49,9,319,42,2021,3,5,14,1.7306,305.2055555555556,0
SRCTREEWIN-13546,Bug,Low,1,1,80,14,613,93,2021,3,3,9,13.1569,305.2055555555556,0
SRCTREEWIN-13544,Bug,Low,1,1,46,6,434,71,2021,3,2,11,0.1299,305.2055555555556,0
SRCTREEWIN-13543,Bug,Low,1,1,24,4,417,63,2021,3,0,12,2.0701,305.2055555555556,0
SRCTREEWIN-13539,Bug,Low,1,1,5,1,5,1,2021,3,3,19,35.7049,305.2055555555556,0
SRCTREEWIN-13538,Bug,Low,1,1,27,3,446,73,2021,3,3,13,11.2347,305.2055555555556,0
SRCTREEWIN-13535,Bug,Low,1,1,79,12,583,109,2021,3,2,16,22.616,305.2055555555556,0
SRCTREEWIN-13534,Bug,Low,1,1,65,10,629,106,2021,3,1,15,0.0333,305.2055555555556,0
SRCTREEWIN-13533,Bug,Low,1,1,47,9,376,63,2021,3,1,10,92.9819,305.2055555555556,0
SRCTREEWIN-13513,Bug,Low,1,1,100,10,1170,143,2021,3,0,10,228.0576,305.2055555555556,0
SRCTREEWIN-13484,Bug,Low,1,1,50,7,5311,234,2021,3,2,13,39.7812,305.2055555555556,0
SRCTREEWIN-13480,Bug,Low,1,1,58,9,868,84,2021,2,4,17,0.0007,305.2055555555556,0
SRCTREEWIN-13478,Bug,Low,1,1,45,6,585,85,2021,2,3,16,4.8583,305.2055555555556,0
SRCTREEWIN-13477,Bug,Low,1,1,44,8,376,63,2021,2,3,10,17.859,305.2055555555556,0
SRCTREEWIN-13475,Bug,Low,1,1,79,13,503,67,2021,2,1,11,113.9646,305.2055555555556,0
SRCTREEWIN-13474,Bug,Low,1,1,82,13,301,50,2021,2,1,8,114.0917,305.2055555555556,0
SRCTREEWIN-13473,Bug,Low,1,1,38,7,242,37,2021,2,0,9,115.0278,305.2055555555556,0
SRCTREEWIN-13472,Bug,Low,1,1,68,10,578,74,2021,2,0,6,242.2319,305.2055555555556,0
SRCTREEWIN-13459,Bug,Low,1,1,45,7,938,156,2021,2,0,9,13.8549,305.2055555555556,0
SRCTREEWIN-13458,Bug,Low,1,1,49,7,476,68,2021,2,0,8,276.3056,305.2055555555556,0
SRCTREEWIN-13457,Bug,Low,1,1,63,10,1015,170,2021,2,6,15,0.5326,305.2055555555556,0
SRCTREEWIN-13450,Bug,Low,1,1,89,12,337,53,2021,2,4,11,259.0167,305.2055555555556,0
SRCTREEWIN-13449,Bug,Low,1,1,73,11,162,22,2021,2,4,9,0.0028,305.2055555555556,0
SRCTREEWIN-13447,Bug,Low,1,1,29,5,435,62,2021,2,2,15,0.6486,305.2055555555556,0
SRCTREEWIN-13439,Bug,Low,1,1,27,5,1334,213,2021,2,0,12,0.6847,305.2055555555556,0
SRCTREEWIN-13437,Bug,Low,1,1,89,15,209,39,2021,2,0,7,0.0438,305.2055555555556,0
SRCTREEWIN-13433,Bug,Low,1,1,77,10,671,111,2021,1,4,13,2.6361,305.2055555555556,0
